poppler-glib 25.06.0-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
power-profiles-daemon 0.30-1
ppp 2.5.2-1
pps-tools 1.0.3-2
prismlauncher 9.4-1
procps-ng 4.0.5-3
psmisc 23.7-1
pugixml 1.15-2
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
pv 1.9.31-1
python 3.13.5-1
python-annotated-types 0.7.0-2
python-anyio 4.9.0-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-babel 2.17.0-1
python-bleach 6.2.0-2
python-build 1.2.2-3
python-cairo 1.28.0-1
python-certifi 2025.06.15-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.2-1
python-click 8.1.8-1
python-colorama 0.4.6-5
python-contourpy 1.3.2-1
python-cryptography 45.0.4-1
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-decorator 5.2.1-1
python-docutils 1:0.21.2-3
python-dotenv 1.1.1-1
python-evdev 1.9.0-1
python-fastapi 0.115.14-1
python-filelock 3.18.0-1
python-fonttools 4.58.4-1
python-gobject 3.52.3-3
python-httplib2 0.22.0-8
python-idna 3.10-2
python-imagesize 1.4.1-6
python-installer 0.7.0-10
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jinja 1:3.1.6-1
python-kiwisolver 1.4.6-1
python-libevdev 0.11-5
python-mako 1.3.10-1
python-markdown 3.8.2-1
python-markupsafe 3.0.2-1
python-matplotlib 3.10.3-1
python-more-itertools 10.7.0-1
python-numpy 2.3.1-1
python-packaging 25.0-1
python-pillow 11.2.1-1
python-pip 25.1.1-1
python-platformdirs 4.3.6-2
python-pooch 1.8.2-4
python-psutil 7.0.0-1
python-pycparser 2.22-3
python-pydantic 2.11.7-1
python-pydantic-core 2:2.33.2-2
python-pydantic-extra-types 2.10.4-1
python-pydantic-settings 2.10.1-1
python-pydbus 0.6.0-12
python-pygments 2.19.2-1
python-pyparsing 3.2.3-1
python-pyproject-hooks 1.2.0-3
python-pyte 0.8.2-4
python-pytz 2025.2-1
python-requests 2.32.4-1
python-roman-numerals-py 3.1.0-1
python-scipy 1.16.0-1
python-setuptools 1:80.9.0-1
python-shtab 1.7.2-1
python-six 1.17.0-1
python-slugify 8.0.4-3
python-sniffio 1.3.1-4
python-snowballstemmer 2.2.0-7
python-sphinx 8.2.3-1
python-sphinx-alabaster-theme 1.0.0-4
python-sphinxcontrib-applehelp 2.0.0-3
python-sphinxcontrib-devhelp 2.0.0-4
python-sphinxcontrib-htmlhelp 2.1.0-3
